date,month_year,airport_group,airport,total_passengers,terminal_passengers,transit_passengers
2017-10-01,October 2017,Other UK Airports,LEEDS BRADFORD,358565,358168,397
2017-10-01,October 2017,Other UK Airports,LERWICK (TINGWALL),313,313,0
2017-10-01,October 2017,Other UK Airports,LIVERPOOL (JOHN LENNON),440944,440944,0
2017-10-01,October 2017,London Area Airports,LONDON CITY,405286,405286,0
2017-10-01,October 2017,London Area Airports,LUTON,1422866,1422540,326
2017-10-01,October 2017,Other UK Airports,LYDD,70,70,0
2017-10-01,October 2017,Other UK Airports,MANCHESTER,2405646,2401992,3654
2017-10-01,October 2017,Other UK Airports,NEWCASTLE,498975,498854,121
2017-10-01,October 2017,Other UK Airports,NEWQUAY,40277,40103,174
2017-10-01,October 2017,Other UK Airports,NORWICH,50792,50792,0
2017-10-01,October 2017,Other UK Airports,OXFORD (KIDLINGTON),0,0,0
2017-10-01,October 2017,Other UK Airports,PRESTWICK,73648,73644,4
2017-10-01,October 2017,Other UK Airports,SCATSTA,14922,14922,0
2017-10-01,October 2017,Other UK Airports,SOUTHAMPTON,176421,176421,0
2017-10-01,October 2017,London Area Airports,SOUTHEND,103703,103703,0
2017-10-01,October 2017,London Area Airports,STANSTED,2325281,2325281,0
2017-10-01,October 2017,Other UK Airports,STORNOWAY,13001,12786,215
2017-10-01,October 2017,Other UK Airports,SUMBURGH,23953,23953,0
2017-10-01,October 2017,Other UK Airports,TIREE,1006,996,10
2017-10-01,October 2017,Other UK Airports,WICK JOHN O GROATS,1473,1470,3
2017-11-01,November 2017,Other UK Airports,ABERDEEN,246501,246501,0
2017-11-01,November 2017,Non UK Reporting Airports,ALDERNEY,3539,3539,0
2017-11-01,November 2017,Other UK Airports,BARRA,876,876,0
2017-11-01,November 2017,Other UK Airports,BELFAST CITY (GEORGE BEST),196033,196033,0
2017-11-01,November 2017,Other UK Airports,BELFAST INTERNATIONAL,402982,402982,0
2017-11-01,November 2017,Other UK Airports,BENBECULA,2922,2922,0
2017-11-01,November 2017,Other UK Airports,BIGGIN HILL,132,132,0
2017-11-01,November 2017,Other UK Airports,BIRMINGHAM,767910,767260,650
2017-11-01,November 2017,Other UK Airports,BLACKPOOL,1827,1827,0
2017-11-01,November 2017,Other UK Airports,BOURNEMOUTH,26127,26127,0
2017-11-01,November 2017,Other UK Airports,BRISTOL,489156,488572,584
2017-11-01,November 2017,Other UK Airports,CAMPBELTOWN,644,612,32
2017-11-01,November 2017,Other UK Airports,CARDIFF WALES,77830,77830,0
2017-11-01,November 2017,Other UK Airports,CITY OF DERRY (EGLINTON),16891,16891,0
2017-11-01,November 2017,Other UK Airports,DONCASTER SHEFFIELD,67123,67123,0
2017-11-01,November 2017,Other UK Airports,DUNDEE,1853,1853,0
2017-11-01,November 2017,Other UK Airports,DURHAM TEES VALLEY,13140,11841,1299
2017-11-01,November 2017,Other UK Airports,EAST MIDLANDS INTERNATIONAL,221850,221850,0
2017-11-01,November 2017,Other UK Airports,EDINBURGH,934873,934873,0
2017-11-01,November 2017,Other UK Airports,EXETER,58905,58905,0
2017-11-01,November 2017,London Area Airports,GATWICK,2889031,2889031,0
2017-11-01,November 2017,Other UK Airports,GLASGOW,682707,682707,0
2017-11-01,November 2017,Other UK Airports,GLOUCESTERSHIRE,0,0,0
2017-11-01,November 2017,Non UK Reporting Airports,GUERNSEY,64910,62132,2778
2017-11-01,November 2017,London Area Airports,HEATHROW,5922486,5920389,2097
2017-11-01,November 2017,Other UK Airports,HUMBERSIDE,13982,13941,41
2017-11-01,November 2017,Other UK Airports,INVERNESS,57106,57106,0
2017-11-01,November 2017,Other UK Airports,ISLAY,2436,2416,20
2017-11-01,November 2017,Non UK Reporting Airports,ISLE OF MAN,64844,64844,0
2017-11-01,November 2017,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3290,3290,0
2017-11-01,November 2017,Non UK Reporting Airports,JERSEY,108137,106113,2024
2017-11-01,November 2017,Other UK Airports,KIRKWALL,14256,13329,927
2017-11-01,November 2017,Other UK Airports,LANDS END (ST JUST),2808,2802,6
2017-11-01,November 2017,Other UK Airports,LEEDS BRADFORD,212594,212228,366
2017-11-01,November 2017,Other UK Airports,LERWICK (TINGWALL),187,187,0
2017-11-01,November 2017,Other UK Airports,LIVERPOOL (JOHN LENNON),325235,325076,159
2017-11-01,November 2017,London Area Airports,LONDON CITY,397183,397183,0
2017-11-01,November 2017,London Area Airports,LUTON,1017815,1017815,0
2017-11-01,November 2017,Other UK Airports,LYDD,14,14,0
2017-11-01,November 2017,Other UK Airports,MANCHESTER,1733509,1730238,3271
2017-11-01,November 2017,Other UK Airports,NEWCASTLE,303594,303430,164
2017-11-01,November 2017,Other UK Airports,NEWQUAY,21583,21583,0
2017-11-01,November 2017,Other UK Airports,NORWICH,35189,35189,0
2017-11-01,November 2017,Other UK Airports,PRESTWICK,26401,25921,480
2017-11-01,November 2017,Other UK Airports,SCATSTA,15962,15962,0
2017-11-01,November 2017,Other UK Airports,SOUTHAMPTON,143587,143587,0
2017-11-01,November 2017,London Area Airports,SOUTHEND,70625,70625,0
2017-11-01,November 2017,London Area Airports,STANSTED,1822323,1822323,0
2017-11-01,November 2017,Other UK Airports,STORNOWAY,12502,12297,205
2017-11-01,November 2017,Other UK Airports,SUMBURGH,20387,20387,0
2017-11-01,November 2017,Other UK Airports,TIREE,842,810,32
2017-11-01,November 2017,Other UK Airports,WICK JOHN O GROATS,1452,1452,0
2017-12-01,December 2017,Other UK Airports,ABERDEEN,235255,235255,0
2017-12-01,December 2017,Non UK Reporting Airports,ALDERNEY,3361,3361,0
2017-12-01,December 2017,Other UK Airports,BARRA,779,779,0
2017-12-01,December 2017,Other UK Airports,BELFAST CITY (GEORGE BEST),182563,182563,0
2017-12-01,December 2017,Other UK Airports,BELFAST INTERNATIONAL,392945,392945,0
2017-12-01,December 2017,Other UK Airports,BENBECULA,2573,2543,30
2017-12-01,December 2017,Other UK Airports,BIGGIN HILL,61,61,0
2017-12-01,December 2017,Other UK Airports,BIRMINGHAM,791152,790419,733
2017-12-01,December 2017,Other UK Airports,BLACKPOOL,2143,2143,0
2017-12-01,December 2017,Other UK Airports,BOURNEMOUTH,31870,31657,213
2017-12-01,December 2017,Other UK Airports,BRISTOL,517378,517164,214
2017-12-01,December 2017,Other UK Airports,CAMPBELTOWN,459,457,2
2017-12-01,December 2017,Other UK Airports,CARDIFF WALES,80045,80045,0
2017-12-01,December 2017,Other UK Airports,CITY OF DERRY (EGLINTON),15387,15387,0
2017-12-01,December 2017,Other UK Airports,DONCASTER SHEFFIELD,78581,78581,0
2017-12-01,December 2017,Other UK Airports,DUNDEE,1572,1572,0
2017-12-01,December 2017,Other UK Airports,DURHAM TEES VALLEY,12428,11636,792
2017-12-01,December 2017,Other UK Airports,EAST MIDLANDS INTERNATIONAL,225221,225221,0
2017-12-01,December 2017,Other UK Airports,EDINBURGH,923929,923724,205
2017-12-01,December 2017,Other UK Airports,EXETER,62617,62617,0
2017-12-01,December 2017,London Area Airports,GATWICK,3171068,3170610,458
2017-12-01,December 2017,Other UK Airports,GLASGOW,617901,617833,68
2017-12-01,December 2017,Other UK Airports,GLOUCESTERSHIRE,0,0,0
2017-12-01,December 2017,Non UK Reporting Airports,GUERNSEY,62155,59320,2835
2017-12-01,December 2017,London Area Airports,HEATHROW,6338026,6335582,2444
2017-12-01,December 2017,Other UK Airports,HUMBERSIDE,12873,12844,29
2017-12-01,December 2017,Other UK Airports,INVERNESS,57287,57287,0
2017-12-01,December 2017,Other UK Airports,ISLAY,1556,1543,13
2017-12-01,December 2017,Non UK Reporting Airports,ISLE OF MAN,63975,63975,0
2017-12-01,December 2017,Other UK Airports,ISLES OF SCILLY (ST.MARYS),2815,2815,0
2017-12-01,December 2017,Non UK Reporting Airports,JERSEY,111182,109321,1861
2017-12-01,December 2017,Other UK Airports,KIRKWALL,12682,11977,705
2017-12-01,December 2017,Other UK Airports,LANDS END (ST JUST),2515,2491,24
2017-12-01,December 2017,Other UK Airports,LEEDS BRADFORD,200560,200421,139
2017-12-01,December 2017,Other UK Airports,LERWICK (TINGWALL),106,106,0
2017-12-01,December 2017,Other UK Airports,LIVERPOOL (JOHN LENNON),339327,339327,0
2017-12-01,December 2017,London Area Airports,LONDON CITY,324968,324968,0
2017-12-01,December 2017,London Area Airports,LUTON,1072628,1072628,0
2017-12-01,December 2017,Other UK Airports,LYDD,15,15,0
2017-12-01,December 2017,Other UK Airports,MANCHESTER,1835595,1832467,3128
2017-12-01,December 2017,Other UK Airports,NEWCASTLE,300389,300170,219
2017-12-01,December 2017,Other UK Airports,NEWQUAY,24245,24245,0
2017-12-01,December 2017,Other UK Airports,NORWICH,31666,31666,0
2017-12-01,December 2017,Other UK Airports,PRESTWICK,25868,25786,82
2017-12-01,December 2017,Other UK Airports,SCATSTA,13734,13734,0
2017-12-01,December 2017,Other UK Airports,SOUTHAMPTON,150691,150691,0
2017-12-01,December 2017,London Area Airports,SOUTHEND,83558,83558,0
2017-12-01,December 2017,London Area Airports,STANSTED,1831754,1831754,0
2017-12-01,December 2017,Other UK Airports,STORNOWAY,10826,10708,118
2017-12-01,December 2017,Other UK Airports,SUMBURGH,18911,18911,0
2017-12-01,December 2017,Other UK Airports,TIREE,747,732,15
2017-12-01,December 2017,Other UK Airports,WICK JOHN O GROATS,1177,1177,0
2018-01-01,January 2018,Other UK Airports,ABERDEEN,217889,217889,0
2018-01-01,January 2018,Non UK Reporting Airports,ALDERNEY,2840,2840,0
2018-01-01,January 2018,Other UK Airports,BARRA,854,854,0
2018-01-01,January 2018,Other UK Airports,BELFAST CITY (GEORGE BEST),163123,163106,17
2018-01-01,January 2018,Other UK Airports,BELFAST INTERNATIONAL,364465,364465,0
2018-01-01,January 2018,Other UK Airports,BENBECULA,2301,2301,0
2018-01-01,January 2018,Other UK Airports,BIGGIN HILL,48,48,0
2018-01-01,January 2018,Other UK Airports,BIRMINGHAM,746609,746382,227
2018-01-01,January 2018,Other UK Airports,BLACKPOOL,1781,1781,0
2018-01-01,January 2018,Other UK Airports,BOURNEMOUTH,31379,31379,0
2018-01-01,January 2018,Other UK Airports,BRISTOL,486483,486205,278
2018-01-01,January 2018,Other UK Airports,CAMPBELTOWN,540,538,2
2018-01-01,January 2018,Other UK Airports,CARDIFF WALES,70749,70297,452
2018-01-01,January 2018,Other UK Airports,CITY OF DERRY (EGLINTON),14595,14595,0
2018-01-01,January 2018,Other UK Airports,DONCASTER SHEFFIELD,71492,71492,0
2018-01-01,January 2018,Other UK Airports,DUNDEE,1436,1436,0
2018-01-01,January 2018,Other UK Airports,DURHAM TEES VALLEY,11843,10501,1342
2018-01-01,January 2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,212614,212614,0
2018-01-01,January 2018,Other UK Airports,EDINBURGH,836943,836943,0
2018-01-01,January 2018,Other UK Airports,EXETER,52007,52007,0
2018-01-01,January 2018,London Area Airports,GATWICK,2847495,2847495,0
2018-01-01,January 2018,Other UK Airports,GLASGOW,579990,579888,102
2018-01-01,January 2018,Other UK Airports,GLOUCESTERSHIRE,0,0,0
2018-01-01,January 2018,Non UK Reporting Airports,GUERNSEY,51470,48688,2782
2018-01-01,January 2018,London Area Airports,HEATHROW,5769134,5766092,3042
2018-01-01,January 2018,Other UK Airports,HUMBERSIDE,13028,13017,11
2018-01-01,January 2018,Other UK Airports,INVERNESS,47167,47167,0
2018-01-01,January 2018,Other UK Airports,ISLAY,1811,1799,12
2018-01-01,January 2018,Non UK Reporting Airports,ISLE OF MAN,54582,54582,0
2018-01-01,January 2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),2772,2772,0
2018-01-01,January 2018,Non UK Reporting Airports,JERSEY,88601,86968,1633
2018-01-01,January 2018,Other UK Airports,KIRKWALL,11341,10830,511
2018-01-01,January 2018,Other UK Airports,LANDS END (ST JUST),2505,2448,57
2018-01-01,January 2018,Other UK Airports,LEEDS BRADFORD,177490,177291,199
2018-01-01,January 2018,Other UK Airports,LERWICK (TINGWALL),113,113,0
2018-01-01,January 2018,Other UK Airports,LIVERPOOL (JOHN LENNON),323321,322065,1256
2018-01-01,January 2018,London Area Airports,LONDON CITY,320258,320258,0
2018-01-01,January 2018,London Area Airports,LUTON,1034068,1033841,227
2018-01-01,January 2018,Other UK Airports,LYDD,0,0,0
2018-01-01,January 2018,Other UK Airports,MANCHESTER,1667010,1664456,2554
2018-01-01,January 2018,Other UK Airports,NEWCASTLE,282100,281822,278
2018-01-01,January 2018,Other UK Airports,NEWQUAY,20231,20231,0
2018-01-01,January 2018,Other UK Airports,NORWICH,28422,28422,0
2018-01-01,January 2018,Other UK Airports,OXFORD (KIDLINGTON),0,0,0
2018-01-01,January 2018,Other UK Airports,PRESTWICK,24815,24630,185
2018-01-01,January 2018,Other UK Airports,SCATSTA,14573,14573,0
2018-01-01,January 2018,Other UK Airports,SOUTHAMPTON,129511,129511,0
2018-01-01,January 2018,London Area Airports,SOUTHEND,65710,65710,0
2018-01-01,January 2018,London Area Airports,STANSTED,1801579,1801579,0
2018-01-01,January 2018,Other UK Airports,STORNOWAY,9558,9391,167
2018-01-01,January 2018,Other UK Airports,SUMBURGH,16368,16358,10
2018-01-01,January 2018,Other UK Airports,TIREE,675,632,43
2018-01-01,January 2018,Other UK Airports,WICK JOHN O GROATS,1139,1139,0
2018-02-01,February 2018,Other UK Airports,ABERDEEN,214025,214025,0
2018-02-01,February 2018,Non UK Reporting Airports,ALDERNEY,2820,2820,0
2018-02-01,February 2018,Other UK Airports,BARRA,959,959,0
2018-02-01,February 2018,Other UK Airports,BELFAST CITY (GEORGE BEST),174220,174092,128
2018-02-01,February 2018,Other UK Airports,BELFAST INTERNATIONAL,382676,382676,0
2018-02-01,February 2018,Other UK Airports,BENBECULA,2279,2279,0
2018-02-01,February 2018,Other UK Airports,BIGGIN HILL,204,204,0
2018-02-01,February 2018,Other UK Airports,BIRMINGHAM,764901,764881,20
2018-02-01,February 2018,Other UK Airports,BLACKPOOL,1809,1809,0
2018-02-01,February 2018,Other UK Airports,BOURNEMOUTH,31771,31771,0
2018-02-01,February 2018,Other UK Airports,BRISTOL,517633,517201,432
2018-02-01,February 2018,Other UK Airports,CAMPBELTOWN,474,474,0
2018-02-01,February 2018,Other UK Airports,CARDIFF WALES,78020,78020,0
2018-02-01,February 2018,Other UK Airports,CITY OF DERRY (EGLINTON),14977,14977,0
2018-02-01,February 2018,Other UK Airports,DONCASTER SHEFFIELD,61392,61392,0
2018-02-01,February 2018,Other UK Airports,DUNDEE,1402,1402,0
2018-02-01,February 2018,Other UK Airports,DURHAM TEES VALLEY,10596,10459,137
2018-02-01,February 2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,216547,216547,0
2018-02-01,February 2018,Other UK Airports,EDINBURGH,844685,844547,138
2018-02-01,February 2018,Other UK Airports,EXETER,55385,55385,0
2018-02-01,February 2018,London Area Airports,GATWICK,2980212,2979872,340
2018-02-01,February 2018,Other UK Airports,GLASGOW,567221,566863,358
2018-02-01,February 2018,Other UK Airports,GLOUCESTERSHIRE,0,0,0
2018-02-01,February 2018,Non UK Reporting Airports,GUERNSEY,51628,49079,2549
2018-02-01,February 2018,London Area Airports,HEATHROW,5348199,5345972,2227
2018-02-01,February 2018,Other UK Airports,HUMBERSIDE,12295,12214,81
2018-02-01,February 2018,Other UK Airports,INVERNESS,51602,51602,0
2018-02-01,February 2018,Other UK Airports,ISLAY,1820,1795,25
2018-02-01,February 2018,Non UK Reporting Airports,ISLE OF MAN,58379,58379,0
2018-02-01,February 2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3291,3291,0
2018-02-01,February 2018,Non UK Reporting Airports,JERSEY,97626,96668,958
2018-02-01,February 2018,Other UK Airports,KIRKWALL,11735,11012,723
2018-02-01,February 2018,Other UK Airports,LANDS END (ST JUST),2853,2797,56
2018-02-01,February 2018,Other UK Airports,LEEDS BRADFORD,198161,197935,226
2018-02-01,February 2018,Other UK Airports,LERWICK (TINGWALL),221,221,0
2018-02-01,February 2018,Other UK Airports,LIVERPOOL (JOHN LENNON),335362,335030,332
2018-02-01,February 2018,London Area Airports,LONDON CITY,329634,329634,0
2018-02-01,February 2018,London Area Airports,LUTON,1053462,1053101,361
2018-02-01,February 2018,Other UK Airports,LYDD,11,11,0
2018-02-01,February 2018,Other UK Airports,MANCHESTER,1680919,1678336,2583
2018-02-01,February 2018,Other UK Airports,NEWCASTLE,288274,288129,145
2018-02-01,February 2018,Other UK Airports,NEWQUAY,20549,20549,0
2018-02-01,February 2018,Other UK Airports,NORWICH,28243,28243,0
2018-02-01,February 2018,Other UK Airports,PRESTWICK,24868,24864,4
2018-02-01,February 2018,Other UK Airports,SCATSTA,13497,13497,0
2018-02-01,February 2018,Other UK Airports,SOUTHAMPTON,134506,134452,54
2018-02-01,February 2018,London Area Airports,SOUTHEND,79015,79015,0
2018-02-01,February 2018,London Area Airports,STANSTED,1731648,1731648,0
2018-02-01,February 2018,Other UK Airports,STORNOWAY,9903,9664,239
2018-02-01,February 2018,Other UK Airports,SUMBURGH,16482,16482,0
2018-02-01,February 2018,Other UK Airports,TIREE,714,674,40
2018-02-01,February 2018,Other UK Airports,WICK JOHN O GROATS,1226,1226,0
2018-03-01,March 2018,Other UK Airports,ABERDEEN,242486,242486,0
2018-03-01,March 2018,Non UK Reporting Airports,ALDERNEY,3687,3687,0
2018-03-01,March 2018,Other UK Airports,BARRA,1160,1160,0
2018-03-01,March 2018,Other UK Airports,BELFAST CITY (GEORGE BEST),194453,194238,215
2018-03-01,March 2018,Other UK Airports,BELFAST INTERNATIONAL,450204,450197,7
2018-03-01,March 2018,Other UK Airports,BENBECULA,2573,2573,0
2018-03-01,March 2018,Other UK Airports,BIGGIN HILL,65,65,0
2018-03-01,March 2018,Other UK Airports,BIRMINGHAM,879517,879381,136
2018-03-01,March 2018,Other UK Airports,BLACKPOOL,1666,1666,0
2018-03-01,March 2018,Other UK Airports,BOURNEMOUTH,40298,40298,0
2018-03-01,March 2018,Other UK Airports,BRISTOL,555522,555041,481
2018-03-01,March 2018,Other UK Airports,CAMPBELTOWN,693,693,0
2018-03-01,March 2018,Other UK Airports,CARDIFF WALES,96153,95976,177
2018-03-01,March 2018,Other UK Airports,CITY OF DERRY (EGLINTON),15884,15884,0
2018-03-01,March 2018,Other UK Airports,DONCASTER SHEFFIELD,81353,81303,50
2018-03-01,March 2018,Other UK Airports,DUNDEE,1615,1615,0
2018-03-01,March 2018,Other UK Airports,DURHAM TEES VALLEY,12076,11987,89
2018-03-01,March 2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,274683,274609,74
2018-03-01,March 2018,Other UK Airports,EDINBURGH,963363,963363,0
2018-03-01,March 2018,Other UK Airports,EXETER,57790,57769,21
2018-03-01,March 2018,London Area Airports,GATWICK,3476905,3476303,602
2018-03-01,March 2018,Other UK Airports,GLASGOW,665079,664586,493
2018-03-01,March 2018,Other UK Airports,GLOUCESTERSHIRE,0,0,0
2018-03-01,March 2018,Non UK Reporting Airports,GUERNSEY,61709,59270,2439
2018-03-01,March 2018,London Area Airports,HEATHROW,6451345,6449053,2292
2018-03-01,March 2018,Other UK Airports,HUMBERSIDE,13961,13874,87
2018-03-01,March 2018,Other UK Airports,INVERNESS,62564,62564,0
2018-03-01,March 2018,Other UK Airports,ISLAY,2504,2477,27
2018-03-01,March 2018,Non UK Reporting Airports,ISLE OF MAN,64866,64866,0
2018-03-01,March 2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),5386,5386,0
2018-03-01,March 2018,Non UK Reporting Airports,JERSEY,100600,100600,0
2018-03-01,March 2018,Other UK Airports,KIRKWALL,13897,12970,927
2018-03-01,March 2018,Other UK Airports,LANDS END (ST JUST),4128,4077,51
2018-03-01,March 2018,Other UK Airports,LEEDS BRADFORD,225584,225381,203
2018-03-01,March 2018,Other UK Airports,LERWICK (TINGWALL),224,224,0
2018-03-01,March 2018,Other UK Airports,LIVERPOOL (JOHN LENNON),387006,386582,424
2018-03-01,March 2018,London Area Airports,LONDON CITY,383265,383265,0
2018-03-01,March 2018,London Area Airports,LUTON,1225318,1225296,22
2018-03-01,March 2018,Other UK Airports,LYDD,10,10,0
2018-03-01,March 2018,Other UK Airports,MANCHESTER,1994767,1990357,4410
2018-03-01,March 2018,Other UK Airports,NEWCASTLE,342391,342113,278
2018-03-01,March 2018,Other UK Airports,NEWQUAY,24217,24207,10
2018-03-01,March 2018,Other UK Airports,NORWICH,34767,34767,0
2018-03-01,March 2018,Other UK Airports,PRESTWICK,38361,38356,5
2018-03-01,March 2018,Other UK Airports,SCATSTA,14139,14139,0
2018-03-01,March 2018,Other UK Airports,SOUTHAMPTON,147156,147156,0
2018-03-01,March 2018,London Area Airports,SOUTHEND,91723,91723,0
2018-03-01,March 2018,London Area Airports,STANSTED,1989109,1988754,355
2018-03-01,March 2018,Other UK Airports,STORNOWAY,10412,10192,220
2018-03-01,March 2018,Other UK Airports,SUMBURGH,19043,19043,0
2018-03-01,March 2018,Other UK Airports,TIREE,932,911,21
2018-03-01,March 2018,Other UK Airports,WICK JOHN O GROATS,1394,1375,19
2018-04-01,April 2018,Other UK Airports,ABERDEEN,254237,254237,0
2018-04-01,April 2018,Non UK Reporting Airports,ALDERNEY,4096,4096,0
2018-04-01,April 2018,Other UK Airports,BARRA,1402,1402,0
2018-04-01,April 2018,Other UK Airports,BELFAST CITY (GEORGE BEST),204267,203961,306
2018-04-01,April 2018,Other UK Airports,BELFAST INTERNATIONAL,498574,498574,0
2018-04-01,April 2018,Other UK Airports,BENBECULA,2721,2721,0
2018-04-01,April 2018,Other UK Airports,BIGGIN HILL,124,124,0
2018-04-01,April 2018,Other UK Airports,BIRMINGHAM,962715,962676,39
2018-04-01,April 2018,Other UK Airports,BLACKPOOL,2297,2297,0
2018-04-01,April 2018,Other UK Airports,BOURNEMOUTH,64431,64431,0
2018-04-01,April 2018,Other UK Airports,BRISTOL,703428,702940,488
2018-04-01,April 2018,Other UK Airports,CAMPBELTOWN,651,645,6
2018-04-01,April 2018,Other UK Airports,CARDIFF WALES,105117,104874,243
2018-04-01,April 2018,Other UK Airports,CITY OF DERRY (EGLINTON),14988,14988,0
2018-04-01,April 2018,Other UK Airports,DONCASTER SHEFFIELD,94263,94261,2
2018-04-01,April 2018,Other UK Airports,DUNDEE,1562,1562,0
2018-04-01,April 2018,Other UK Airports,DURHAM TEES VALLEY,11905,11811,94
2018-04-01,April 2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,405286,405286,0
2018-04-01,April 2018,Other UK Airports,EDINBURGH,1205233,1205233,0
2018-04-01,April 2018,Other UK Airports,EXETER,74967,74967,0
2018-04-01,April 2018,London Area Airports,GATWICK,3742717,3742456,261
2018-04-01,April 2018,Other UK Airports,GLASGOW,798259,798259,0
2018-04-01,April 2018,Non UK Reporting Airports,GUERNSEY,66049,63653,2396
2018-04-01,April 2018,London Area Airports,HEATHROW,6537414,6535698,1716
2018-04-01,April 2018,Other UK Airports,HUMBERSIDE,13992,13938,54
2018-04-01,April 2018,Other UK Airports,INVERNESS,79455,79431,24
2018-04-01,April 2018,Other UK Airports,ISLAY,3023,3000,23
2018-04-01,April 2018,Non UK Reporting Airports,ISLE OF MAN,65462,65462,0
2018-04-01,April 2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),9098,9098,0
2018-04-01,April 2018,Non UK Reporting Airports,JERSEY,117734,117734,0
2018-04-01,April 2018,Other UK Airports,KIRKWALL,15096,14039,1057
2018-04-01,April 2018,Other UK Airports,LANDS END (ST JUST),5958,5957,1
2018-04-01,April 2018,Other UK Airports,LEEDS BRADFORD,300208,299961,247
2018-04-01,April 2018,Other UK Airports,LERWICK (TINGWALL),337,337,0
2018-04-01,April 2018,Other UK Airports,LIVERPOOL (JOHN LENNON),438296,438117,179
2018-04-01,April 2018,London Area Airports,LONDON CITY,385190,385190,0
2018-04-01,April 2018,London Area Airports,LUTON,1404430,1403688,742
2018-04-01,April 2018,Other UK Airports,LYDD,0,0,0
2018-04-01,April 2018,Other UK Airports,MANCHESTER,2202186,2198411,3775
2018-04-01,April 2018,Other UK Airports,NEWCASTLE,402096,401971,125
2018-04-01,April 2018,Other UK Airports,NEWQUAY,38445,38440,5
2018-04-01,April 2018,Other UK Airports,NORWICH,35774,35774,0
2018-04-01,April 2018,Other UK Airports,PRESTWICK,74901,74896,5
2018-04-01,April 2018,Other UK Airports,SCATSTA,16213,16213,0
2018-04-01,April 2018,Other UK Airports,SOUTHAMPTON,168899,168899,0
2018-04-01,April 2018,London Area Airports,SOUTHEND,113203,113203,0
2018-04-01,April 2018,London Area Airports,STANSTED,2363926,2363800,126
2018-04-01,April 2018,Other UK Airports,STORNOWAY,10409,10287,122
2018-04-01,April 2018,Other UK Airports,SUMBURGH,19154,19148,6
2018-04-01,April 2018,Other UK Airports,TIREE,1031,995,36
2018-04-01,April 2018,Other UK Airports,WICK JOHN O GROATS,1346,1346,0
2018-05-01,May 2018,Other UK Airports,ABERDEEN,276578,276578,0
2018-05-01,May 2018,Non UK Reporting Airports,ALDERNEY,4692,4692,0
2018-05-01,May 2018,Other UK Airports,BARRA,1569,1569,0
2018-05-01,May 2018,Other UK Airports,BELFAST CITY (GEORGE BEST),232133,231916,217
2018-05-01,May 2018,Other UK Airports,BELFAST INTERNATIONAL,557484,557484,0
2018-05-01,May 2018,Other UK Airports,BENBECULA,3219,3219,0
2018-05-01,May 2018,Other UK Airports,BIGGIN HILL,108,108,0
2018-05-01,May 2018,Other UK Airports,BIRMINGHAM,1132818,1132818,0
2018-05-01,May 2018,Other UK Airports,BLACKPOOL,1818,1818,0
2018-05-01,May 2018,Other UK Airports,BOURNEMOUTH,71567,71567,0
2018-05-01,May 2018,Other UK Airports,BRISTOL,834439,834054,385
2018-05-01,May 2018,Other UK Airports,CAMPBELTOWN,955,946,9
2018-05-01,May 2018,Other UK Airports,CARDIFF WALES,164966,164897,69
2018-05-01,May 2018,Other UK Airports,CITY OF DERRY (EGLINTON),15541,15541,0
2018-05-01,May 2018,Other UK Airports,DONCASTER SHEFFIELD,122235,122235,0
2018-05-01,May 2018,Other UK Airports,DUNDEE,2023,2023,0
2018-05-01,May 2018,Other UK Airports,DURHAM TEES VALLEY,12218,12121,97
2018-05-01,May 2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,517080,517080,0
2018-05-01,May 2018,Other UK Airports,EDINBURGH,1324075,1324005,70
2018-05-01,May 2018,Other UK Airports,EXETER,87578,87530,48
2018-05-01,May 2018,London Area Airports,GATWICK,4103134,4102697,437
2018-05-01,May 2018,Other UK Airports,GLASGOW,928240,928240,0
2018-05-01,May 2018,Non UK Reporting Airports,GUERNSEY,75785,72838,2947
2018-05-01,May 2018,London Area Airports,HEATHROW,6629804,6626923,2881
2018-05-01,May 2018,Other UK Airports,HUMBERSIDE,16722,16684,38
2018-05-01,May 2018,Other UK Airports,INVERNESS,86099,86025,74
2018-05-01,May 2018,Other UK Airports,ISLAY,3619,3587,32
2018-05-01,May 2018,Non UK Reporting Airports,ISLE OF MAN,74790,74790,0
2018-05-01,May 2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10868,10868,0
2018-05-01,May 2018,Non UK Reporting Airports,JERSEY,159746,157810,1936
2018-05-01,May 2018,Other UK Airports,KIRKWALL,17916,16713,1203
2018-05-01,May 2018,Other UK Airports,LANDS END (ST JUST),6641,6641,0
2018-05-01,May 2018,Other UK Airports,LEEDS BRADFORD,389259,388966,293
2018-05-01,May 2018,Other UK Airports,LERWICK (TINGWALL),543,543,0
2018-05-01,May 2018,Other UK Airports,LIVERPOOL (JOHN LENNON),464438,464104,334
2018-05-01,May 2018,London Area Airports,LONDON CITY,424392,424392,0
