date,month_year,airport_group,airport,total_passengers,terminal_passengers,transit_passengers
2015-02-01,February 2015,Other UK Airports,DUNDEE,1448,1448,0
2015-02-01,February 2015,Other UK Airports,DURHAM TEES VALLEY,10108,10108,0
2015-02-01,February 2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,202460,202149,311
2015-02-01,February 2015,Other UK Airports,EDINBURGH,656799,656731,68
2015-02-01,February 2015,Other UK Airports,EXETER,46684,46684,0
2015-02-01,February 2015,London Area Airports,GATWICK,2469609,2468890,719
2015-02-01,February 2015,Other UK Airports,GLASGOW,511080,510718,362
2015-02-01,February 2015,Other UK Airports,GLOUCESTERSHIRE,1012,1012,0
2015-02-01,February 2015,Non UK Reporting Airports,GUERNSEY,57868,55553,2315
2015-02-01,February 2015,London Area Airports,HEATHROW,4955098,4953326,1772
2015-02-01,February 2015,Other UK Airports,HUMBERSIDE,16244,16244,0
2015-02-01,February 2015,Other UK Airports,INVERNESS,48527,48367,160
2015-02-01,February 2015,Other UK Airports,ISLAY,1837,1817,20
2015-02-01,February 2015,Non UK Reporting Airports,ISLE OF MAN,52889,52889,0
2015-02-01,February 2015,Other UK Airports,ISLES OF SCILLY (ST.MARYS),4038,4038,0
2015-02-01,February 2015,Non UK Reporting Airports,JERSEY,90911,89262,1649
2015-02-01,February 2015,Other UK Airports,KIRKWALL,10866,10173,693
2015-02-01,February 2015,Other UK Airports,LANDS END (ST JUST),2824,2796,28
2015-02-01,February 2015,Other UK Airports,LEEDS BRADFORD,164683,162159,2524
2015-02-01,February 2015,Other UK Airports,LERWICK (TINGWALL),92,0,92
2015-02-01,February 2015,Other UK Airports,LIVERPOOL (JOHN LENNON),272021,272021,0
2015-02-01,February 2015,London Area Airports,LONDON CITY,327047,327047,0
2015-02-01,February 2015,London Area Airports,LUTON,686837,686707,130
2015-02-01,February 2015,Other UK Airports,LYDD,36,36,0
2015-02-01,February 2015,Other UK Airports,MANCHESTER,1351743,1348089,3654
2015-02-01,February 2015,Other UK Airports,MANSTON (KENT INT),0,0,0
2015-02-01,February 2015,Other UK Airports,NEWCASTLE,246821,246615,206
2015-02-01,February 2015,Other UK Airports,NEWQUAY,12591,12591,0
2015-02-01,February 2015,Other UK Airports,NORWICH,26283,26283,0
2015-02-01,February 2015,Other UK Airports,OXFORD (KIDLINGTON),122,122,0
2015-02-01,February 2015,Other UK Airports,PRESTWICK,18393,18393,0
2015-02-01,February 2015,Other UK Airports,SCATSTA,23807,23807,0
2015-02-01,February 2015,Other UK Airports,SHOREHAM,32,32,0
2015-02-01,February 2015,Other UK Airports,SOUTHAMPTON,129013,128207,806
2015-02-01,February 2015,London Area Airports,SOUTHEND,63339,63339,0
2015-02-01,February 2015,London Area Airports,STANSTED,1469692,1469273,419
2015-02-01,February 2015,Other UK Airports,STORNOWAY,9586,9412,174
2015-02-01,February 2015,Other UK Airports,SUMBURGH,16239,16143,96
2015-02-01,February 2015,Other UK Airports,TIREE,603,579,24
2015-02-01,February 2015,Other UK Airports,WICK JOHN O GROATS,2626,2291,335
2015-03-01,March 2015,Other UK Airports,ABERDEEN,281553,281553,0
2015-03-01,March 2015,Non UK Reporting Airports,ALDERNEY,4256,4256,0
2015-03-01,March 2015,Other UK Airports,BARRA,594,594,0
2015-03-01,March 2015,Other UK Airports,BELFAST CITY (GEORGE BEST),210413,210413,0
2015-03-01,March 2015,Other UK Airports,BELFAST INTERNATIONAL,331707,331487,220
2015-03-01,March 2015,Other UK Airports,BENBECULA,2629,2629,0
2015-03-01,March 2015,Other UK Airports,BIGGIN HILL,264,264,0
2015-03-01,March 2015,Other UK Airports,BIRMINGHAM,730870,729748,1122
2015-03-01,March 2015,Other UK Airports,BLACKPOOL,1994,1994,0
2015-03-01,March 2015,Other UK Airports,BOURNEMOUTH,27186,27012,174
2015-03-01,March 2015,Other UK Airports,BRISTOL,448061,447614,447
2015-03-01,March 2015,Other UK Airports,CAMBRIDGE,235,235,0
2015-03-01,March 2015,Other UK Airports,CAMPBELTOWN,608,608,0
2015-03-01,March 2015,Other UK Airports,CARDIFF WALES,60508,60508,0
2015-03-01,March 2015,Other UK Airports,CITY OF DERRY (EGLINTON),24140,24140,0
2015-03-01,March 2015,Other UK Airports,COVENTRY,0,0,0
2015-03-01,March 2015,Other UK Airports,DONCASTER SHEFFIELD,48677,48677,0
2015-03-01,March 2015,Other UK Airports,DUNDEE,1386,1386,0
2015-03-01,March 2015,Other UK Airports,DURHAM TEES VALLEY,11996,11979,17
2015-03-01,March 2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,258473,257968,505
2015-03-01,March 2015,Other UK Airports,EDINBURGH,790242,790235,7
2015-03-01,March 2015,Other UK Airports,EXETER,55107,55107,0
2015-03-01,March 2015,London Area Airports,GATWICK,2958178,2956922,1256
2015-03-01,March 2015,Other UK Airports,GLASGOW,606565,605971,594
2015-03-01,March 2015,Other UK Airports,GLOUCESTERSHIRE,1156,1156,0
2015-03-01,March 2015,Non UK Reporting Airports,GUERNSEY,70293,67427,2866
2015-03-01,March 2015,London Area Airports,HEATHROW,5951061,5949719,1342
2015-03-01,March 2015,Other UK Airports,HUMBERSIDE,17579,17572,7
2015-03-01,March 2015,Other UK Airports,INVERNESS,55995,55828,167
2015-03-01,March 2015,Other UK Airports,ISLAY,2210,2194,16
2015-03-01,March 2015,Non UK Reporting Airports,ISLE OF MAN,61908,61901,7
